date.temperature,humidity,luminosity
,29.9,286
,29.9,288
,29.9,293
,29.9,295
,30.0,297
,30.0,300
,30.0,305
,30.0,307
,30.0,305
,30.0,302
,30.1,297
,30.1,302
,30.1,300
,30.0,300
,30.0,305
,30.0,305
,30.0,305
,30.0,302
,30.0,302
,30.0,286
,30.0,300
,30.0,300
,30.0,307
,30.0,302
,30.0,305
,30.0,302
,30.0,305
,30.0,307
,30.0,307
,30.0,307
,30.0,307
,30.0,307
,30.0,305
,29.9,310
,29.9,307
,29.9,310
,29.9,307
,29.9,307
,30.0,310
,30.0,307
,30.0,307
,30.0,302
,30.0,293
,30.1,293
,30.0,295
,30.1,302
,30.1,300
,30.1,286
,30.1,288
,30.0,286
,29.8,300
,29.9,295
,29.9,295
,29.9,293
,29.9,297
,29.9,300
,30.1,295
,30.3,295
,30.4,295
,30.4,295
,30.4,293
,30.3,293
,30.3,295
,30.3,295
,30.2,295
,30.2,293
,30.1,300
,30.1,293
,30.7,295
,30.7,293
,30.6,291
,30.5,284
,30.4,293
,30.3,300
,30.3,300
,30.3,245
,30.2,40
,30.2,252
,30.2,249
,30.2,247
,30.1,254
,30.1,256
,30.0,256
,30.0,240
,30.0,247
,29.9,200
,30.0,197
,30.3,203
,30.3,234
,30.4,242
,30.6,273
,30.7,275
,30.6,273
,30.6,243
,30.4,242
,30.3,238
,30.2,240
,30.1,242
,30.2,231
,30.1,238
